Chủ đề,Bài viết,Tác giả,Chuyên mục,Số báo,Ngày xuất bản,Nội dung
Trách nhiệm,Trách nhiệm người đờn bà,Trần-thị-Đào,Tạp trở,3,Ngày 22 tháng 2 năm 1918,"Trách nhiệm người đờn bà\nNăm cũ vừa qua, năm mới đã tới, cỏ cây còn thay đổi sắc xuân cho hạp theo thời tiết, huốn chi chị em ta cũng làm người chen vai trong võ-trụ, há không đổi tư-tưởng mới mà tô-điễm phận sự làm cho hạp theo thời đại hay sao?\nVã bấy lâu chị em ta khuê môn bất xuất, bỗn phận chĩ có giữ cho tròn bốn đức, cho vẹn ba tùng thì đũ, ngoài ra không nghĩa-vụ, không tư-tưởng gì khác. Bởi cho nên chị em ta yếu-ớt muôn phần, nhơn lực đã không có mà thế lực cũng không, té ra mỗi mỗi đều nương dựa đờn ông cả. Người đờn ông như cây cao bóng mát, còn phận ta như giây cát bò leo. Nên khi ta còn bé thì nương theo cha, khi xuất giả thì thì theo chồng, đến khi chồng khoản sớm có con thì lại theo con trước sau, sau trước thì ta cũng cứ nương dựa người. Ấy là thuận theo tình cảnh là vậy, còn như gặp lối nhgịch cảnh mẹ cha không có, chồng con cũng không, thì người đờn bà lúc đấy biết dựa nương vào đâu, lững-đững lờ-đờ như thuyền không lái nỗi trôi dữa biễn khơi! Thế thì hại biết là dường nào! Những tay biết giữ ngọc gìn vàng thì chẳng nói làm chi, còn như tay bở chí thì chi cho khỏi mảnh hườn nhan đam vầy gió bụi.\nThế thì chị em ta, phận đờn-bà yếu-ớt, nghĩ có nên kiếm một cái thế lực gì riêng chăng, dầu đến chơn nghịch cảnh có đũ sức đứng-đợt mộ mình, không nương dựa vào đâu, mà cũng không xiêu ngã,\nTheo trí tôi trù nhgĩ thì chị em ta nên có một cái thế lực riêng."
Trách nhiệm,Trách nhiệm người đờn bà,Trần-thị-Đào,Tạp trở,3,Ngày 22 tháng 2 năm 1918,"Muốn có một cái thế-lực riêng thì chị em ta ngoại trừ ba tùng, bốn đức, nên biết nghề-nghiệp hay dở trên tay, học-thức ít nhiều trong mình đặng lấy hai cái biết đó mà nhồi nắn thành ra một cái thế-lực riêng cho mình, Chừng nào chị em ra có cái thế lực đó đặng thì ai lại còn dám gọi ta là Phụ nhơn nan hóa nữa. là gì dẩu ta còn theo chơn cha mẹ, ta cũng phụ lực cho cha mẹ đặng, theo chồng ta cũng phụ lực cho chồng đặng, theo con ra cũng phụ lực cho con đặng, cùng là ruổi một mình ta, ra cũng có thế làm ra tiền nuôi lấy thân ta khỏi dựa nương ai. Thế thì chẳng ngộ hay sao?\nNhứt là bấy lâu theo thói tục An-nam ta, mọi việc đều phú cho người đờn ông cả, dầu việc nước việc nhà là hai cái gánh nặng thì cũng một mình đởm đướng, chị em ta chẳng hề phụ lực chúc nào đặng, bởi cho nên trước mắt tôi thấy có lắm cái người đờn ông thế-lực thì yếu, còn gánh thì nặng, hè-huội một mình thấy cảnh tình mà thê thảm. Than ôi! lúc đấy phải chi người đờn bà có cái thế-lực riêng há đở vớt người đờn ông không đặng sao? Tĩ như: chồng làm việc, lương bổng không bao nhiêu, xây dụng trong nhà không đũ, lúc đấy người đờn bà có nghề thêu-tiễu, hoặc có học ra làm cô giáo thì cũng làm làm ra tiền phụ thêm cho chồng, có nước đồng nước sông mới dảy, chừng ấy gánh nặng cũng phải thành nhẹ.\nCuối xin chị em xét đoán rồi làm thế nào đừng đễ người rằng : Thân ta đây là vá móc áo, bụng ta đây tà túi đựng cơm, cùng là thân thễ ta hoàn toàn đây là bộ máy đẻ con cùng là món vưu-vật chi cũa đời đó. Thế thì rất hỗ thẹn cho ta lắm lắm."
Chọn bạn đời,Nhắn với chị em,Lê-thị-Tần,Tạp trở,10,Ngày 12 tháng 4 nằm 1918,"Nhắn với chị em\nNon cao suối chẩy ấy ai người tri-âm\n(Nguyển-khắc-Hiếu.)\nSân vắng trăng soi, phòng không đèn rạng, một mình một bóng chẳng biết than cùng ai, chẳng biết nói cùng ai!\nEm đây hổ sanh phận gái, trời cho lọt vào cữa thi-thơ, nhờ ơn cha mẹ cũng được xôi kinh nấu sữ, theo ngọn bút cung đời chút đĩnh.\nTừ thuở sơ sanh, lòng ta sẳn đã tơ vương một mối tình lai-láng cùng non nước, cảm kích cùng trời đất, buồn với nước mây gió bắc, vui với chị thắm huê cười.\nNhững mong gặp khách anh-tài, chia tình châu ngọc; Ủa trời xanh đả cưng phận bạc, hay vẩn ghét má hồng?\nMà chợt thấy;\nNón pa-na-ma phất phơ tóc quân-tữ, khói si-gà, nghi-ngút miệng văn-minh, ngồi lấy dạng. đứng lấy dạng, đi lấy dạng, đến cã chơn tay cũng lấy dạng!\nQuần ủi là nếp thẳng, giây cột hoa hòe, chiếc ba-ton đưa đẩy ngọn phu-la, (Foulard mối trước ngực, mối sau lưng. Xe cao-su chạy lẹ, Hàng-giấy xuống ấp, (hai-phố cô-đào Hànoi) Quảng-Lạc (nhà hát-bội) qua sán-nhiên-đài (Rạp hát chèo) Đông-hưng-Viên (tiệm bán tiên lầu chệt) đi Ô-tên Hanoi (Hàng cơm tây), quay về bàn bi-gia (billard) (1).\nThan ôi! lột vỏ sa-tanh (satin) thì cái giá áo, cất Ba-na-ma (Panama) thì đầu tóc cúm. chẳng ngắm đôi giầy láng, thì nghĩ nỉ tốt, để cắt áo Ba-đờ-suy (Pardesxus) chớ lắc bẩy ngày đố ra được cầu truyện thú tình có ý vị.\nThời trong lúc:\nGió thổi mảnh thưa, lay ngọn đèn biếc, ngồi buồn nghĩ vẩn lo vơ: dận cái thoi vàng mau qua. tiếc ngày xuân-xanh chẳng lại, những ôm cầm gian giú sợ giây tơ, mà tức thế-gian anh tài mấy mặt, biết tấm riêng nầy sẻ ngậm vành kết cỏ cùng ai…\nNhờ chuống gióng hộ mấy hồi, \nThữ xem có kiếm được người trai khôn.\nMà cùng nguyện biển thề non,\nTrăm năm tính cuộc vuông tròn với ai.\nXa sôi-gọi có vài lời.\nLÊ-THỊ-TẦN.\nEM là người Bắc-kỳ chỉ ở phần nhiều Long-biên (Hanoi) còn thơ ấu chưa đi đâu xa, em thấy các người con trai thiếu niên chốn kinh-kỳ ngoài nầy thế nào tả như thế, chắc chị em ai đã qua Bắc cũng biết những chốn những nói em kể trên ấy."
"Lòng bác ái, đức tính",Bàn về lòng bác ái,Nữ-sanh Nguyễn-song-Kim,Xã thuyết,11,Ngày 19 tháng 4 năm 1918,"BÀN VỀ LÒNG BÁC ÁI\nNgười ngoại-quốc thường chê chị em ta rằng : “đàn bà An-nam không có lòng bác-ái, chỉ biết bo bo trong cái lợi nhản tiền, chẳng còn biết chi đồng-chưởng đồng-bào cả”. Than ôi ! con người ta đến để cho họ chê họ khi, thì còn ra người sao đặng. Vậy em phải bàn cho rỏ, để cùng chị em đúc nên chuông dư-luận (Lời bàn chung) dầu phải hay chăng, nên biết để mà rữa hổ với người ta.\nÔng A-li-sĩ-đa-đức (Aristote) là một nhà triết học Hy-lạp đời xưa có câu rằng : “Con nnười ta là một giống động vật biết yêu đàn, mến lũ.” Phàm người sanh ở đời ai cũng sẳn có cái lòng “ái-vật” cho nên đối với cha mẹ thì cái tánh ấy nó là chữ “hiếu,” đối với anh em chị em thì cái tánh ấy nó là chữ “hữu” đối với chúng bạn thì cái tánh ấy nó là chữ “tín.” Người ta không xét kỹ, chớ dẫu cho hiếu, hữu, tín, nghe có khác, nhưng vẩn trong vòng cái tình ái-vật, bởi nếu không có tình ấy, thì không làm sao mà hiếu, mà hữu, mà tín được. Thánh hiền ta đã cho là “tánh vốn lành” thiệt cũng phải vậy. \nSong le việc đời nó có hai lẻ, một là công, hai là tư ; công thì bao giờ cũng thuộc về phần rộng, còn tư thì bao giờ cũng thuộc về phần hẹp. Nay ta kễ từ phần hẹp mà ra phần rộng, hãy bỏ lẻ tư mà chiêu-tập lẻ công, đễ rải tỏ cùng chị em những điều sở kiến : \nChị em ta đương lúc còn để vá hai bên, mõ-ác còn che trước trán, quanh-quẩn trong chốn gia-đình, vấn-vít dưới chơn cha mẹ, ta yêu song-thân ta, cùng anh em ta, đó thiệt là yêu, nhưng yêu thì yêu, chưa lấy gì làm rộng. \nĐến khi biết vọc đất vọc cát chơi dởn ngoài đường, ra vào trong làng xóm yêu trẻ bạn trong làng xóm ta, đó thiệt là yêu, nhưng yêu thì yêu chưa lấy gì làm rộng. \nTới lúc má phấn đỏ hồng hồng, tóc mây xanh ngăn ngắt, tài-ba khách mẫn-mê đời, vẻ ngọc người treo cao giá ; kim chỉ thêu thùa, sữ kinh học tập, ta yêu bậu-bạn ta, đó thiệt là yêu, nhưng yêu thì yêu, chưa lấy gì làm rộng."
"Lòng bác ái, đức tính",Bàn về lòng bác ái,Nữ-sanh Nguyễn-song-Kim,Xã thuyết,11,Ngày 19 tháng 4 năm 1918,"Kịp kỳ, thơ “đào-yêu” đã vịnh, chữ xướng-tùy đã hát khúc “quan-thư” trăm năm vẹn ước với chồng, một nhà, sum hiệp trước cùng mai, kể quyền kể thế bây giờ nhì trời mà nhứt ta, thì ta yêu chồng ta, đó thiệt là yêu, nhưng yêu thì yêu, chưa lấy gì làm rộng. Đến lúc nằm mộng thấy “hùng-bi” (điềm sanh con trai), ngũ mê thấy “hủy-xà” (điềm sanh con gái), hai ba năm, bốn năm năm, con trước con sau, tay bổng tay bế, miệng hôn môi hít, bụng ấp tay nâng, ta yêu con ta, đó thiệt là yêu, nhưng yêu thì yêu, chưa lấy gì làm rộng. \nTính tới độ gia môi tóc bạc, rể dâu phương-trưởng, con cái lớn khôn, cháu chắt một đoàn, quanh dưới ghế, thì ta yêu cháu chắt ta, đó thiệt là yêu, nhưng yêu thì yêu, chưa lấy gì làm rộng. \nThấy Mạnh-tử có câu rằng : “lòng thương xót ai ai cũng có” (trắc ẩn chi tâm, nhơn đai hữu chi), lấy cái nghĩa thiệt rộng mà nói, thì phàm trán tròn gót vuông sánh với ta là người, thì ta điềuphải thương yêu, mong cho được hay, được sung sướng cả ; lấy cái nghĩa loài-giống mà nói, thì phàm những người vàng da tóc điều nên kết tình-nghĩa với nhau cho cố-kết ; lấy cái nghĩa quốc-gia mà nói, thì phàm người trong ba xứ, không cứ Trung-kỳ, Nam-kỳ, Bắc-kỳ cùng chung một phong-tục, cùng chung một ngôn-ngữ, cùng chung một tổ-tiên, điều phải yêu nhau, như con một mẹ sanh ra cả. \nNgười ngày xưa như vua Hạ-Vỏ lo lắng cho thiên-hạ, có người bị chết chìm, cũng như mình bị chết chìm. Ông Hậu-tắc, lo thiên-hạ có người bị đói khát, cũng như mình bị đói khát ; ông Y-doãn lo dân trong thiên-hạ, những phường Thất-phu thất phụ, không được gội nhuần ơn huệ, như mình phải bị ở trong ngòi rạch ; ông Trương-hoành-Cừ rằng : “bao nhiêu những hạng người đui què, tàn tật, góa vợ, góa chồng, không cha, không mẹ ấy, điều là anh em khốn khổ, không biết kêu vào đâu được của bọn ta vậy.” Ôi ! chúng ta ở vào châu-Á theo cái học “đại-đồng” của Đức-Phu-tữ ta, vốn là một người sẳn có lòng bác-ái. Không còn phải đợi đến đời mới nẩy mới biết, xem những bực cao-hiền, triết-học của ta, chưa hề có ai xướng ra cái nghĩa “mạnh được yếu thua” khiến cho thành ra một cái công-lệ xô đẩy người ta vô cái trường tranh-cạnh xâu-xé lẫn nhau, làm cho nhơn-loại lúc nào cũng rộn-ràng những lo-lắng vô cùng, Thầy Mạnh-tử dạy người ta chỉ dạy “nhân-nghĩa”, không nói đến “quyền-lợi” khuyên người ta thân với người thân, mà nhân với dân, mà yêu-mến vật.” Thiệt là chứa-chan những tình bác-ái."
"Lòng bác ái, đức tính",Bàn về lòng bác ái,Nữ-sanh Nguyễn-song-Kim,Xã thuyết,11,Ngày 19 tháng 4 năm 1918,"Chị em ôi, ta vốn là một dân tộc sẳn lòng bác-ái như thế, cớ làm sao lại bị người ta nhiếc móc làm vậy ? \nCó lẻ ở cái buổi giao-thời, hai cái văn-minh u, Á gặp nhau hải còn đương xung-đột, bọn ta vào cái thời-buổi nhà cũ đã phá, nhà mới chưa xây dựng được, bến đò nọ đã bước qua, bến đò kia chưa đi tới, cho nên quốc-túy ta hóa lờ-mờ, quốc-hồn ta thành u-ám, phong-hóa ta mới suy-tồi, cang-thường ta mới đổ-nát, sanh-kế còn muôn đường chậm trễ, học-hành lại trăm nổi ngây-thơ, nước cổ mà sánh với đời nay vẩn chưa-già, dân khôn mà so với đời nay vẫn còn dại. Nghỉ đến mà nguy thay cho cái cảnh-tượng nầy, muốn cùng với cô con gái Tất-thất nước Lổ kia mà khóa buồng xuân, vắn thở giài than. \nThôi bao nhiêu bước quá-khứ điều như tro lạnh, không nói làm chi, bước hiện-tại dẩu có lo đó, mà ta còn vững rằng: mẹ Đại-pháp ta là một nước có nhiều nhân-đạo, cờ ba sắc đã phô cho ta một mầu bác-ái, chị em ta có “Nữ học-đường” mà nhận ơn giáo-dục, sự đắp nên cơ-sở mới là ở tại cái tụi mắt phụng môi son, dẩu yếu như cỏ bồ cây liểu, mà xem ra quyền-lực cũng to thay ! Ta nên biết rằng con người ta ở đời sự bỉnh-phú, sự tế-ngộ, không có bao giờ giống nhau, cho nên mới có kẻ khôn người dại, kẻ giàu người nghèo. Ta may mà được làm người không thì ta nên lấy sự giúp người ngu làm trách-nhiệm, mở trường học, dựng nhà in, lập nên tòa báo, tòa dịch sách, dúp vào sự giáo-dục, phàm những công việc làm, cho người ta mở trí khôn được, thì ta quyết ra tay tần tảo mới là. Ta may mà được làm người giàu, ta nên lấy sự giúp người nghèo làm trách-nhậm mở ra xưởng thợ, lập ra chợ làm cho kẻ nghèo nàn được nương dựa. Đến như những kẻ mắc hoạn-nạn, bị tàn-tật ta càng nên viện trợ phó trì lắm, đừng đễ cho nó phải bơ-vơ. Ông Ẩm-băng có nói rằng: “Yêu người khác tức là lợi cho ta.” Vì ta có yêu người thì người mới yêu ta, ta có được nhiều người yêu, thì ta làm việc gì mới dễ nên ích lợi ta, ta có yêu nhiều người, thì mới có lắm kẻ mong giúp ích ta. Ta nên yêu mến lẫn nhau, một mai chúng được gánh sầu nhẹ không. \nHởi chị em con nhà Hồng-Lạc, mấy lời nầy xin tạc giạ đừng quên, một mai được hưởng lợi-quyền, rữa sạch tiếng xấu của những kẻ chê bai ta ngày trước. Vậy các nhà thức-giã trong bọn ta, nghe em nói thì nghỉ thế nào, xin bàn thêm cho ra lẻ phải. Nữ-sanh Nguyển-song-Kim"
"Thói xa xỉ, đức tính","Cách ăn ở",Lê-ái-Kiều,Gia chánh,11,Ngày 19 tháng 4 năm 1918,"Xa-si\nCuộc đời càng văn-minh, thì người ta càng xa-sí, là cái thế su-hướng tự nhiên cũa xả-hội. Bởi sao? Vì cái lòng chuộng lạ, lòng làm tốt, đặng lòa con mắt thiên-hạ mà thôi, chớ đối với cái cần-kiệm tri-gia, thì xa-sí thiệt là một cái hại lớn. Như xả hội ta ngày nay, cái trình-độ sanh huợt (sự sống trên đời) từ bực trung-lưu trở lên thì chẳng nói gì, từ bực trung-lưu trở xuống, có lắm kẻ thấy mình bồ-nâu áo vải, không có cái quần lảnh, manh áo hàng, đi đứng đâu coi ra hình hổ-thẹn. Ấy cũng là một cái dở của ta, mà chừa khó đặng. \nNào có phải vậy mà thôi đâu, lại còn cái tánh mới chuộng cũ vong, tuy xã-hội cũng nhờ đó mà tấn-hóa, nhưng rất đỗi đến có kẻ ăn bận theo Tàu theo Nhựt, một người xướng trước, năm bảy người, chín mười người hòa sau, mổi ngày một tô-điểm thêm lên, xa-sí không biết đến đâu là tột. Câu cách-ngôn bên Thái-tây có nói rằng:«Đờn-bà chỉ chuyên trao dồi bề mặt, thì việc nhà tất nhiên sao lảng» một lời ấy củng đủ rỏ đờn-bà ta muốn cho trọn cái nghĩa-vụ mình, tất phải dăn sự xa-sí trước đã."
"Thói xa xỉ, đức tính",Nghĩa tiện tặng,S. Nguyệt Anh,Xã thuyết,4,Ngày 1 tháng 3 năm 1918,"NGHĨA TIỆN TẶNG\nNhà danh-sĩ bèn Thái-tây có câu rằng: Không coi chừng sự xài phí nhỏ, như cái lổ mọt, thường làm chìm đặng chiếc ghe to. \nSách nho cũng có câu rằng : Lúc có tiền phải nhớ đên ngày không tiền. \nMấy lời ấy thiệt tả rõ cái nghĩa tiện-tặng, là một đức tốt trong chủ-nghĩa trao mình, dẫu đông tây cũng chung một luật như thế cả.      \nNgười ta thường nói: Thế giới mà tân-hóa, là nhờ cái lòng muốn của loài người ngày một thêm lên, nên muôn việc trước sơ lược, mà sau kỷ cang, trước giả-man mà sau văn-hoá, lần lần mãi đến ngày nay, như gấm thêu, như tranh vẽ, như thế-giới lưu-ly, là bởi có xa-sí mới gây nên những cảnh-tượngấy. Nhưng có nghĩ kỷ, thì mới biết cần-kiệm rất có quan hệ lớn với văn-minh.      \nLà vì sao? Vì nhứt thiết những hiện-tượng ngày nay, đều là mồ hôi nước mắt của người trước ta, nếu không thì xã-hội nầy, có khác chi như xã-hội động vật kia. Thế thì nói thế-giới tân-hóa, là nhờ lòng muốn của loài người, thà nói nhờ về sự tiện-tặng của loài ngưòi, tuởng còn có lẻ chút. \nCó người nói : Xa-sí với tiện tặng, khòng có nghĩa gì nhứt định, chĩ theo về trình độ xã-hội văn hay là giã mà thổi. Trước kia chén ngọc đũa ngà, ai cũng kêu là xa-sí, mà ngày nay coi cũng tầm thường, rất đôi những, đồ dùng của dân-gian bây giờ, dầu nhà công hầu khanh tướng trăm năm về trước, cũng khó được thay. Lẻ đó bởi vì vật-sản trong thế-giới, mỗi ngày một thêm ra, thì sự tiêu dùng của người ta, cũng mỗi ngày một cao nữa, không thể chỉ đời nào xa-sí, mà đời nào tiện tặng đặng. Ngày nay gió Âu mưa Á, bốn biển một nhà, người ta xa-hoa, không lẻ ta phác-lậu (quê mùa) vốn là cái thể tự nhiên. Vả lại những bực thanh-niên, trí thức đã phát-đạt, thì, ham muốn cũng  cao thêm, thành như một cái thói quen, đố có thể gì ai ngăn cho đặng, thì tôi cũng chẳng bàn chi cho dong dài.\nNhưng đem sự xài phí của ta đối với cái trình-độ dân ta bây  giờ, tôi hỏi lại tôi, có hiệp với thời thế hay không, thì tưởng còn lạm lắm. Giả mà mở trường học, lập xưởng công, phàm những đều lợi dân ích nước, dầu tốn hao cách mấy đi nữa, thì chẳng nói chi. Nhưng tiến-hoá chưa mấy mà lãng phí quá nhiều, tưởng không phải là cái hạnh phước của xã-hội. Vậy xa-sí hay cần kiệm, ta nên lấy cái địa-vị của ta làm cao thấp, chớ không nên theo người mà truyền di,(đổi dời) như triều nhà Lê xưa, từ ngủ-phẩm trở lên, mới đặng dùng dổ kiễu, mà văn-hoá hồi đó, cũng không vì cớ ấy mà giảm bớt. Nên người xưa có nói rằng: Cứ sự giàu nghèo, mà định lẻ xa-sí cần kiệm, thiệt là có chí-lý. Thí dụ một người giàu kia, ăn của ngon, mặc đố tốt kể ra thì xa-sí thiệt, nhưng trong tay sẵn có đồng tiền, tuy cũng hại mà không hại mấy. Còn như những người thiếu thốn, mà cũng như vậy nữa, thì ai chẳng cho là vượt-phận. Một người như vậy, trăm ngàn muôn ức người như vậy; thì nước làm sao không nghèo, của làm sao không trôi hết ra ngoài biển Nam-hải."
Dưỡng thai,PHÉP NUÔI CON,Lê-ái-Kiều,Gia chánh,9,Ngày 5 tháng 4 năm 1918,"Dưởng-thai\nĐờn bà khi đã có thai, ấy là lúc gần đặng thăng cái phẩm-hàm làm mẹ, và là lúc gần phải nghiêng vai gánh vác cái nghĩa-vụ nặng nề trong xã-hội. Cái nghĩa-vụ ấy là gì? Là phép nuôi con dạy con cho ra người hoàn-toàn được, thiệt là bao hết cả tâm huyết một đời vậy. Đây trước hết hảy nói cách dưỡng-thai.\n1º Quần áo.— Phàm người có thai, thì mạch huyết trong mình, đi không được thuận, nên quần áo phải nhẹ ấm, và rộng rãi, kỵ mặc những vật không hút được khí thấp, ngang bụng thường phải quần cho thiệt kín, mà không nên thắt chặt quá, nếu thắt chặt quá hại cho con ở trong thai lắm.\nĐừng có lúc phải làm lụng những việc sốc vác nặng nề, thì phải cột chặt cho khỏi động thai, nhưng tạm một lúc đó mà thôi. Còn sự sạch sẻ là thường chẳng nói thì ai ai cũng đều biết cả.\n2º Ăn uống.- Thường thường người có thai hai ba tháng, sách kêu là « Thai-khí » ta kêu là đau cấn nghén lúc ấy ít có ai ăn uống được lắm. Thì nên dùng những vật gì có chất bổ nhiều, ăn đắng lấy sức. Từ 7, 8 tháng sắp lên, bộ đồ tiêu-hóa, bị thai đè ép, thì càn phải lựa ăn những vật dể bổ dưỡng và tiêu-hóa mạnh, kỵ nhửng đồ tân tán (cay nóng) như hồ-tiêu, cải lạt, ớt v.v. Như thấy trong mình có khác thường, phải mới thầy thuốc, coi mạch, cho thuốc ngừa trước."
Dưỡng thai,Phép nuôi con,Lê-ái-Kiều,Gia chánh,11,Ngày 19 tháng 4 năm 1918,"Cách bảo dưỡng khi có thai, nghe trong mình có khác độ thường\nỚn nghén. - Đờn-bà có thai được một vài tháng, thường thường khi ăn hay muốn âu-thổ. Lúc ấy nên ở chỗ yên tịnh, mát mẻ, và uống nước nóng, hoặc cafe, đặng ăn cho mau tiêu.\nNếu ăn ít thì không những là yếu người mẹ mà thôi, và hại lây đến cả con ở trong thai nửa.\nBí đại tiện. - Người có thai, thường hay có chứng bón, thì lúc ấy không cần phải dùng thuốc, cứ ăn những đồ trái cây không hại đến tì-vị, thì tự-nhiên cũng huợt-trường.\nSưng chơn. - Phàm có thai 7, 8 tháng, từ đầu gối trở xuống, thường hay nổi sưng, như bịnh phù vậy. Lúc ấy nên nằm một chổ, để vật gì gác chơn, cho cao hơn đầu, vuốt lần lần xuống, thì huyết nó cũng phải xuôi theo, như cả mặt mày đều sưng thũng cả, là có bịnh trong bao-tủ, nên rước thầy danh sư mà uống thuốc ngay.\nNhức răng. - Trong khi có thai, thì nước miếng biến ra chất chua, nó làm cho mạch máu đi không được thuận, phải ngược trở lên, cho nên mới sanh ra chứng nhứt răng. Lúc ấy rước thầy mà uống thuốc, không nên dùng vị gì mạnh, cho hại đến ngũ-tạng.\nPhàm người lúc đang có thai, thì thân thể không phải như người còn gái tơ. Thường hay sanh chứng nọ, tật kia, nên cách bảo dưởng rất phải trú-ý lắm mới đặng."
Nữ quyền,Nữ quyền,Nguyễn-hồng-Nguyên,Xã thuyết,13,Ngày 3 tháng 5 năm 1918,"Nữ-quyền\nNhững bà quần-xoa nước ta ngày nay, liếc mắt coi các bà đầm châu u, ngẩm nghỉ mà thêm tủi lòng son, thêm phai da phấn, thêm châu mày liểu, thêm rối tóc mây.\nBởi sao? - Bởi từ đường ngôn-luận cho chí đường giao-thiệp của người ta, không kém chi đàn ông. Trong đã coi-sóc việc nhà, ngoài lại dự bàn việc nước. Yểu-điệu thanh-tao, vào giòng nữ-kiệt, đường ăn cách mặc, coi tựa tiên-nga. Kiếp xưa tu tự nơi nào, kiếp nầy được giáng-sanh vào trong các nước văn-minh.\nCái đó không phải ông trời xanh kia, ghét riêng gì khách má hồng ở phương Đông này, cũng không phải nước ta quen trọng nam khinh-nữ. Sách nho có câu «thê giả tề dả» phương ngôn ta có câu «lịnh ông không bằng cồng bà» thế thì cái nữ quyền ở Á-đông này có đã lâu lắm thay, chỉ vì có nữ quyền mà không có nữ-giáo, thời cái «lưỡi giài» là nền loạn đã tưng đẩy dảy xưa nay.\nNhư ông An-dương vương vì yêu con gái mà Triệu-vỏ chiếm được sơn-hà; nhà Lý vì Chiêu-Hoàng làm, vua mà Trần cướp được thiên-hạ; nhà Hán vì Lữ-hậu chuyên-quyền mà tiếng «gà mái gáy sớm» còn lưu-truyền trong sữ sách.\nCòn lắm ông vì quyền nội-trợ mà mất bạn bè, vì quyền nội-trợ mà quên danh giá. Đáng sợ thay con gái không có giáo-dục mà chuyên quyền gia-thất, thời bại-hoại cang thường, cầm quyền quốc-gia, thời đảo-điên chánh sự.\nVì thế mà cái quyền của đám môi son yếm thắm phải cam bề cúi dưới tay tài-tữ văn-nhơn: Khi ở nhà thời theo cha, lúc xuất giá thời theo chồng, lúc chồng chết thì theo con, quanh đi quẩn lại chỉ lụi đụi từ bếp ra đến sân.\nGần nay cái hơi bình-quyền ở u-Mỷ tràn sang biển Nam hải nầy, không những các bà vui lòng nức dạ, nở mật tươi mày, mà đám nam-nhi chúng tôi cũng trông đêm trông ngày, cho tròn quả phước, rập rìu tài-tữ giai-nhân, cho xứng tiếng cha ông mẹ thánh."
Nữ quyền,Nữ quyền,Nguyễn-hồng-Nguyên,Xã thuyết,13,Ngày 3 tháng 5 năm 1918,"Ít lâu nay các bà cũng cố công mủi kim đường chỉ, đèn sách bút nghiên, làm cô giáo cũng có, làm bà mụ cũng có, mà lắm bà còn muốn thơm danh nức tiếng chẳng quản chi cái thân liễu-yếu đào-tơ; định trèo lên cái thang học-vấn cao-đẳng, để chen vai cùng đám tu-my chúng tôi. Như thế thời đáng quí hóa thay, đáng mừng rở thay cái Nữ-giới nhà ta có lẻ nay mai gần bằng các nước, tiếng cồng tiếng lịnh có hi-vọng rằng sẻ khua vang trong bốn biển năm châu.\nThế mai không dè lại có lắm bà vin lấy tiếng nữ-quyền rồi lộng quyền quá sức: Con gái thì lấn quyền cha mẹ, muốn ngược muốn xuôi, vợ thời lấn quyền chồng muốn sao muốn vậy, rủ nhau đánh bạc, bài cào, tức-sác, câu tôm, câu cá; công việc gia-đình thời xếp đó theo nhau chơi bời, nay xem hát, mai đi chùa, lòa loẹt áo quần, giông ruổi cho thỏa chi, không còn đoái-hoài đến sự bán-buôn nghệ-nghiệp cả!\nThế thời đem cái gương nữ-quyền mà treo ở các nước giáo-dục chưa phố-cập, khác gì vẻ đường cho hươu chạy, mà tưới thêm dầu vào đống lữa cháy, để cho cái thói hư càng ngày càng tệ-hại.\nTôi nói là mắt tôi thấy, tai tôi nghe không phải là bươi cấu người mình đâu. Các bà thữ gác tay lên trán nghĩ kỷ mà xem, cái thân ngàn vàng kia như hoa xuân, như trăng sáng, lại chẳng nên tự-trọng mà tu-tỉnh hay sao? Tôi thiết tưởng phong-hóa trong nước phần nhiều, ở các bà, cho nên tôi cũng muốn vì cái nử-quyền mà cùng các bà thỏ-thẻ một đôi lời. hết chua, hết cay, hết nồng, hết mặn, ai có tật thì chừa đặng để luyện nền con người có giáo-dục đừng để tiếng chê là phụ-nhân nan hóa. Tay tôi viết lòng những ước áo, dạ tôi những mong mỏi cho mau đến ngày tu-my chúng tôi cùng được với các bà dắt tay lên cái vỏ-đài mà hát khúc bình-đẳng."
